"@user aiki da cikawa,weldone mr ganduje👍",neutral
@user katuna akwai ranan hisabi duk zakuyi bayana shugaba 😭,neutral
@user yau kuma 🤔 anya buhari me kuwa,neutral
"@user @user @user wato a iya naxari da tunanin danayi kan film din labarina shine #muhmud xai kasance babansu dayane da #sumayyah duba da yanda shima mahaifin nata dan duniyah 🌍 sakamakon yatabayin ciki mawata yasa mahaifin maman #sumayyah yaki aura masa ita, nafi tunanin itace wacce yayi mata ck",neutral
@user ina ganin buba zai bar nigeria idan buhari yaci zaben nan 😂😂😂,neutral
@user wai jahar shugaban kasa kenan💔,neutral
@user gwamnatin najeriya ta dakatar da bbchausa daga shafin tuwita a najeriya.😹,neutral
"@user hmmm sai baba buhari ai ya riga yayi kuskure, sai yanxu. tun baya yakamata.... 😂",neutral
@user gsky baxamu yadda ba sai dai mukai karar mutun ga baba ganduje yachi tararsu manyan dalloli 🤸🤸🤸,neutral
"@user don allah kada a damqasu hannun gwamnati. kuyi hadin guiwa da central bank, sai a tura ma kowa nashi a account 🙏",neutral
@user malam ya zama dan siyasa shima😂😂,neutral
@user kaji wata maganar.. 😀 ina wutar hasken lantarki tau? sai ku kara da dokar hana daukewar wutar lantarki doka mai tsanani a cikin kasa,neutral
@user tunda baba yace babu vacancy 😂😂,neutral
"@user don allah a samu wani ya yi man bayanin abin da shugaban kasa buhari yace 🙏 saboda free twitter nake yi. babu yadda banyi da su ba akan su rinka saya man data (mb) yadda zan rinka ganin duk wani abu da suka yi posting, amma sun ki, kuma hakan babban kalubale ne ga bbc hausa 😠",neutral
"😅😅💪💪 “@user: buhari ya doke jonathan a #sokoto apc:671,926 pdp:152,199 http://t.co/protgrvnad #zabennigeria”",neutral
@user gomnati ta ringa basu kudi kullum kamar ba gobe🚶‍♂️🥂,neutral
"@user hmm wai buhari ina kudaden da ka kwace a hannun ma,aikatan gwamnati 🤭?",neutral
@user kin ga dariya a fuskana? 😒 oya change ur avi ki saka hoton daushe ko baban chinedu. 😞😞😞,neutral
@user wannan mutumin babatunsa tayi yawa😂😂😂,neutral
@user tafiye tafiyen buhari allah kadai yasan yawansu 🚶‍♂️🚶‍♂️🚶‍♂️,neutral
@user yaushe president muhammad buhari zaiii aje mulki😥,neutral
@user kaii jama'ar mutane!!! ko mene su baba buhari zasu yi da wadannan manyan kudaden kuma ohoo.😕🤔toh... wataqila 'palliatives' za'a raba mana. 😊,neutral
@user zaaci tottenham wasa ranar lar baba 2 da nima⚽⚽,neutral
@user ni yau saboda buhari yana birthday ko wanka bazan ba 🤣🤣,neutral
@user 😂 😂 sauran na najeriya.,neutral
@user 🤣😅 lanle yan minista,neutral
@user idan nine ganduje yarona zansa 😂😂,neutral
@user bbc dan allah ina da tambaya🙏🙏🙏 shin wai da gaske ne shugaba @user ya bada umarnin bude makarantu 14 09 2020???? dan allah ina jiran amsa🙏🙏🙏🙏,neutral
@user kaji sunfi muna ne wannan gaskiya ne 👌 kada a gaji a kara hakuri baba ya kusa kaiwa linta talaka zaisha jar miya 😂😎😂,neutral
@user yakamata bbc kugayawa shugaban nin afrika suma sufito da kekunan su suɗana ranaɗayadai👌,neutral
"@user ba abin mamaki bane, kuma a hakan shugaban kasar dan arewa ne!😭😭",neutral
@user warning ne ake yima buhari🤣,neutral
@user wayace ku zaba buhari 😂😂😂😂😂😂😂😂😂,neutral
@user @user mu allah muke roko yakaremu al gomnati bah🙌,neutral
"@user @user kenan ai babu kasar da ta za ta cigaba batare da an ladaftar ko an binciki duk wani mai laifi ko waye ko mai girman sa ko da buhari yai laifi dole a hukunta shi, rashin kaunar gaskiya ne ya ke sanya da an binciki dan siyasa sai ku danganta hkn da adawar siyasa🤔",neutral
@user ko ana ha apc ha pdp sai ya yi😁,neutral
@user aiki dai baba.......😂😂 har an bashi anyi approving. https://t.co/srgbcv0y9z,neutral
"@user damm tabb akwai kallo kenan, ok gamu gani ko sauraron yanda zata kaya😂😂 #pdp_sank no miss.👍",neutral
@user toh shi gomna jigawan ya yayi aure 😂 😂,neutral
@user @user @user baban goro sai magogin karfe😂😋😋,neutral
@user kuma shugaban talakawa na arewacin nigeria amma ashirin dadin everybody 🤣🤣🤣,neutral
@user kalli hulan ganduje 😂,neutral
"@user don allah bbc ina neman karin bayani game da dokar sauya wa tsohon sarki gari,kuma bazai iya tafiya on his own ba 🙏🙏",neutral
"@user tueh, an dai zo karshen """"""""""""""""""""""""""""""""ka taba ganin matar shugaban kasa ta haihu""""""""""""""""""""""""""""""""😁",neutral
"@user mu kuma 'yan primary sai yaushe za'a bude mana,aminiya ki fadawa gwamnati wallahi mun gaji,idan kuma laifi muka yi mun tuba dan allah muma a 'yanta mu😂😂😂😂",neutral
"@user wlh da gwamnati xata bani d saqon talakawa yje ga han nun su ,😥 amman nasan inaaaa baxata bani ba 😭, i'm sure wadanda xata ba duk cinye du ne😭😭😭😭 baxasu bamu ba😠",neutral
@user haryanzu wasu basu san waye buhari ba 😂😂😂😂,neutral
"@user mai-girma tsohon shugaban kasa da fatan kai zaka fito daga jam'iyyar da kake tunanin ta kamata su karbi mulki, sai mu ga wa yafi farin jini. #buhariundiluted 💪",neutral
@user ka kyauta wacce su zabeka ai da ankace su zabi @user cewa sunkayi zabar apc jihadi ne😂😂😂,neutral
@user ya naci kamata yay ya koma apc 😂 sbd tabbatar da kujerar sa.,neutral
@user wannah ce iyakar najeriya din kennah 🤔 toh su mah kara kulle ta in su gadama,neutral
@user to waye zai yi limmanci kuma? ko ganduje ne😂,neutral
@user janar murtala muhammed ya cika shekara 44 da rasuwa 😭 an kashe tsohon shugaban najeriyar ne a ranar 13 ga watan fabrairun shekarar 1976 a legas. wane darasi ne kuke ganin shugabannin zamanin nan ya kamata su koya daga marigayin? https://t.co/6c16nnikhu,neutral
@user ya su buhari 😂😂😂😂😂,neutral
"@user wallahi idan har batun gaskiya zamuyi anan ni dai anawa ra'ayin irin na matashin daba dan siyasa ba kuma bai san dadinta ba, ina jinjina ga @user game da irin namijin kokarin da yayi domin kuwa wallahi a unguwata munga chanji domin kuwa muna samun wuta yadda yakamata. 👏🤝",neutral
"@user lol, shugaba kasan mu goalkeeper ne ashe 🤣🤣",neutral
"@user ah to fadar shugaban kasar gidankune? 😁😁 kaji wannan tsohuwar, kila bakida qualifications shiyasa",neutral
@user ai mudai azahiri baza muce ga amfanin gwamnati ga al'umma ba musamman talakawa😥,neutral
@user said baba ganduje 😂,neutral
@user shin tayaya zan iya biyan gwamnati harajin ta kai tsaye batare da jamiyanta sun zo gareni wajen son karba abinda ba yafi harajina ko ya gaza ✊,neutral
@user prof. ganduje in town. ya kamata rarara yayiwa prof. waqa wlh 🤣🤣🤣,neutral
@user tab da za'ayi a 9ja iyalen ganduje da tini sunci gado 😅,neutral
@user uba wuta burtai kamata yayi idan buhari ya gama kaima kayi 4 😈😈,neutral
@user sai yanxn kagane basu shiryama zaben ba kenn. next level🤣,neutral
@user koba lashe zabe ba 😏,neutral
@user shugaban qasar guda 🤔,neutral
@user gomnatin yobe ta dade da daukan wannan mat akin✍🏼,neutral
@user @user saura takai ya kira ganduje😂,neutral
@user 😂😂 to babbar mgn ai mu a yanzu ba wutar lantarki bace a gaban mu ba sabida yanzu kowani gida kaje akwai sola a gida amma dan allah mai girma shugaban kasa muna bukatar a inganta ilimi a fadin africa baki daya,neutral
@user @user @user su tambayeshi tsakaninshi da allah idan shine buharin gaskiya🙌😥,neutral
@user wannan hka yake da mayar da lamarin siyasar duniya kuma 🤔,neutral
@user dama kwankwaso yace tare zasuyi retire a siyasa😂 #gandujemustresign,neutral
"@user shiyasa yau na samu kudi kenan, ashe shugaban dollar’s 💵 na kasa ne gaba daya ya shigo gari.😂😂😂😂😂",neutral
@user wato dai kanon ta ganduje ce😂,neutral
"@user kamar wane irin taimako yake nufi,,,,,? sbd mudai 'yan nigeria munsan munbada gudunmuwa sosai akan gwamnatin buhari👌 mun zaɓa shi yaci zaben farko kuma yakoma karo na biyu to miya rage muna yanzu 😭😭😭",neutral
@user wai yanzu in akaje lahira duka en nigeria ne zasu biya bashin nan koh kuwa buhari shi kadai 🤔 ?,neutral
@user kada najeriya ma tayi tunanin yin irinshi faa....🙊🙊,neutral
@user ku tambayi fadar shugaban kasa 🇳🇬,neutral
@user eh mungane cewa gwamnatin nigeria batada damuwa koh aii karatu akasara koh kar aii suh duk dayane awajen su .......🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️,neutral
@user tohh majalisar dinkin duniya💁🏼‍♂️,neutral
@user shugaban kasa da cabals🤣,neutral
@user yah banga ganduje bah?🤣🤣🤣,neutral
@user @user baba nan dai no shaking🇳🇬,neutral
@user siyasa kano se kanawa😅,neutral
"@user hhhhhh 😂 😂 abin dariya wai yaro ya tsinci haƙori, ai bbc da kun inganta hausar ku da cews buhari na halartar taron majalissar shan shayi daga gidansa wanda aka ƙawata da kuɗaɗen ƴan najeriya a daura, kuma ma ai naga kamar na hangi wanda keda alhakin fada masa mai zaice a zaune.",neutral
@user 1 sunyi alkawari cewa za a tsaida wuta a najeriya tun yaushe? 2 meyasa baa cika alkawarin ba??? 3 waima meye makoman wutar a yanzu???? ya sani inma bai amsa a nan ba zai amsa a chan(lahira)😏,neutral
@user @user sojojin najeriya za su yaƙi masu yaɗa farfaganda a kafofin sada zumunta 👉https://t.co/ssg5avipcb https://t.co/lvwb4a4whb,neutral
"@user 😂😅🤣. shugaba buhari ya ƙara bawa ƴan najeriya haƙuri akan yanayin da ake ciki shugaban ya bayyana haka ne yau a jihar kwara ta bakin ministan yaɗa labarai da al’adu, lai mohammed. 😂😅👌. ya hakuri 😆 https://t.co/67ptxya27o",neutral
@user haka ma akeyi a najeriya wlh 😂💔,neutral
@user 😅😅😅 gashi nan shugaban majalisar dinkin duniya! da mukeji tun muna yara a labaren bbc! finally we got him! https://t.co/tyw3ukehci,neutral
@user sako ya isar ma baba kenan😂🙌,neutral
"@user kuzabeni zanmuku fanfon madara🙄, bãba haka suka gaya muna plàà... kai ma... ke ma...🖕",neutral
@user abinda ya fadi dai-dai ne don kuwa kawo yanzu talakan kasarmu yasan makomarsa a gwamnatin apc da kuma irin tagomashin daya samu a wancan gwamnatin ta pdp. al'amarin a bayyane yake basai anyi wasting time wurin yiwa talaka bayani ba. ##apc_jiki_magayi😅,neutral
@user @user buhari: “wai shi wannan gurin ba zai gogu bane 😠”,neutral
@user to meye amfanin zaben ma🥴🥴🥴,neutral
@user duk tsuntsun da yaja ruwa shi ruwan kan doka😂😂😂,neutral
"@user @user @user @user @user @user @user kkuch nahi , welcome to new language initiated by @user 😁 komai mai hakan yake nufe baba",neutral
"@user @user lallai akwai kura, aeesha tace minister bata bayyana buhari bazai aure taba saida yaga anyi sallah a central mosque, ba'a ce waliyyai su matsoba 😂",neutral
"@user @user yana tunani in yayi hakan zai samu damuwa ga matafiyarshi a siyasan shi, kamar irin su rarara.. ya fiso suyita bamu kida da sauti a arewawa.😊",neutral
@user to baba munkwantar dashi. dole abi liman ko a canza masallaci 😅,neutral
@user sai dai ta sanata zai nema 😁,neutral
@user hmmm mutanan mu kenan infant'yar kasuwace fa moreover kuma matar president 😂,neutral
@user iya duba_duba? the answer is ___________ iya duba!_duba!! samudara iya duba idona samudara babane yasiyamin samudara yace inyi tashe samudara 💪,neutral
@user malamai kufito fili kuce kawai da buhari kuke 🤣,neutral
@user kaga wiyan ganduje😂,neutral
@user wai ina sani musa danja !!! ka fito mana dashi..... sai buhari!!!👏👏👏👏,neutral
@user hakorin murnan hawan buhari mulki. shezeyi ehun achire shi😂😋😋,neutral
"@user dan allah wace hanya zanbi in shiga villa ba tare da jami'an tsaro sun ganni ba,ina da shawarar da zan bawa shugaban kasa ne🤕🤕😨😒",neutral
@user idan gwamnati tace mu zauna a gida zamu zauna amma idan yinwa tace mu fita zamu fita domin dukkansu masu fada ajine 😎,neutral
@user tsuntsun🐦🐦da yaja ruwa ai shi ruwa xai doka,neutral
@user kunci iya naku wai buhari yaga talakan nigeria da atamfar apc..😂😂,neutral
@user rashin lafiyar baba buharin mu😭😭😭,neutral
@user shin jamiyyar pdp tana da wasu ƙarin hujjoji ne da zata yi watsi da hukuncin yau har ta karci ƙasa cewar zata nufi kotun ƙoli❓,neutral
@user ai yah! one-day one-day 👌 mutane sunata ransu ko abinsawa abaka! bazabeba!!,neutral
@user mutini munhau motar baba mai gilashi na bauchi😂,neutral
@user nidai a jihata shiru muke ji adamawa bamu san ma da wace ranar ne za'a bada date din kammala zaben ba wlh 😭😭😭😭,neutral
@user mansura...ku ja baban nakun nan ciki faaa😁,neutral
@user cen apc kutsai da duk wanda kukeso ko dan ina neh mukam namu zamuyi kawai. a pdp power 💪,neutral
@user @user @user sunayen gwamnoni shida 6 da korona ta kama a najeriya 👇👇👇👇👇👇👇 https://t.co/gcfhina9z6,neutral
"@user baba a gai da mutanen guinea, a tambayo mana farashin shinkafa acan.😄",neutral
"@user to shi buhari ya,iya larabcine bbc aiya kamata kusako mana hirar dasukayi muji😂😂😂",neutral
@user @user 😂 kune kukaceh muzabe shi a 2019.,neutral
"@user buhari ake nufi wato shugaban kasar nigeria, talaka da zabe wasu shanawa 🙄",neutral
@user zaben kanannan hukumomi: gidauniyar fts ta bukaci jam’iyun siyasa su sake mara wa matasan gombe ---- karin bayani 👇 https://t.co/0m6tz78gyf,neutral
@user #video 2: #bbchausa @user #johnmahama ya shugaban #ghana mai jiran gado.....na san kana jin yaren #hausa sosai. ga sako daga mama #ndc zuwa gare ka.........ka duba wanan video 👇#actionisnowornever #changeiscoming #neversaydie #ghanaians has spoken. https://t.co/z7fljqzm8w,neutral
@user hotunan baba buhari😁,neutral
"@user gayu a tashi a nemi kudi, a najeriya inba a kujerar sanata ko wani dan majalissa ba, babu inda kudi zasu rika zuwa maka kamar banza, mu dage mu nemi na kanmu yafi🙏",neutral
@user: 🔴 da dumi dumi - an kame tsohon firaministan malaysia,neutral
@user koma dai tallafin na waye an dai diba a hakura a bar wannan zancen baba buhari 😂,neutral
@user wai ba wanda zai yiwa buhari da apc alqunut ne kamar yadda aka yiwa jonathan da pdp? is not fair 😏😏,neutral
@user hhhh shugaban kasa ne zayi fyade 🤣🤣,neutral
"@user erman buhari zai kara aure yau, amman ba buhari shugaban kasa ba 😂 😂",neutral
"@user 😃😃😄shiru kakeji """"""""""""""""""""""""""""""""ku xauna lpy, ku kara hakuri, kuduba libya yanda taxama sakamakon bure ga shugaba.....😅😅"""""""""""""""""""""""""""""""" lbrn kenan kullum",neutral
@user mallam director wannan dan kawalin fa kamar na babar sumayya..kodai ajjiye mata shi tayi @user har sai da ta girma sannan ta bata.? kai amma wannan dan kawalin yasha ajiya...har tsahon shekaru ashirin (20) ana ajjiyewa sumayya shi 🤔 anayi munajin dadi director 😂😅🤣 https://t.co/nihwplohxz,neutral
@user samun nasarar yin magudi akan zaben 2019 shugabancin nigeria 🇳🇬,neutral
@user @user @user amfani zaiyi baba 😄,neutral
"@user wannan lallen dai daga gani na najeriya ne, bugun birnin gwari ma kuwaa. munsan komai ai.🙄🙄🙄",neutral
@user ganduje left the chat 😂,neutral
@user har da baba?😂😂😂,neutral
@user @user @user @user @user @user @user @user 😂😂 haka yake wanna baba,neutral
"@user bayan kasata najeriya, sai central africa, dakuma cameron wanda yanzu nake neman halaliya ta, duka sanadin manjo ne, dagama gane, akasin jarmiya zamu sha, kawai na nemawa kaina mafita😊😎💔",neutral
@user @user 'farashin biredi a najeriya zai ƙaru da kusan kashi 50 cikin 100' 👉https://t.co/lx7nubr4ib https://t.co/cmfionwqrk,neutral
@user samari muna qara baku shawarwari wllhy kar mutum yayiwa aure dubin yadda buhari yayiwa nigeria sbd haka idan kunne yaji...🚶‍♂️🚶‍♂️,neutral
"@user kuce mata karta damu, babanta waliyyin siyasa ne, babu abnda zai sameta, ya roqar musu 🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️",neutral
"@user amman an kamma ibadan zuwa lagos, buhari na yarabawa 😭😭😭",neutral
@user wannan gaskia ne musamman wadanda suka caccaki gwamnatin jonathan a baya😒,neutral
@user idon ganduje yana ko ina fa🤭,neutral
"@user nikam aina location na bbc nan yake ne nayi wakan abubuwan da buhari baiyi ba ya mana karya akai, sai makiyan buhari sun ban n200 each zan saki wakar, 0077980206 access bank mujaheed sani muhammad.... 🌚🌚🌚",neutral
"@user duk party me """"""""""""""""""""""""""""""""a"""""""""""""""""""""""""""""""" din nan duk na apc ce matsala aka samu 😂😂",neutral
@user yanzu attacking light ne da last man defender. buhari attack 💪 atiku defend 👊,neutral
@user saura shugaban kasar ma😡😡😡,neutral
"@user toh ai dama al'ada ne a africa, shugaba mai ci ya koma kujeransa, sai dai wanda bai iya makircin siyasa ba👌🙄",neutral
@user 👍 lallaikam ya kamata su dan saurara dom samun nasarar godanar da zaben acikin nasara,neutral
"@user ya kamata gwamnati ta dunga ba duk wanda aka ganshi bai sanya takunkumi ba,domin wasu mantawa suke,ko sun manta cewa ana karban kidan general ne😂😂😂😂",neutral
@user majalisar usman mai shayi. 😢😥💔,neutral
"@user @user to baba, yanda kace haka xa""""""""""""""""""""""""""""""""ayi😆🤣🙄😆🤣🤣",neutral
@user yafito da wanchan mana....👈 garuruwa nawa basu kai kano ba amma sun tanadi kayansu... ko lagos sai da suka tanadi sauran kayansu da kudin lalitarsu daga baya gomnati tashigo lamarinsu....,neutral
@user a hada mana arewan nan gaba daya a bashi gomna. 😁,neutral
@user government dai ba wasu daba😏,neutral
@user yi jaa biyu 🚬 ka koma office babaa😂,neutral
@user baba ka hakura ka zauna gida ko a gida hakuri kawai akeyi to mi za ayi a makawta 😪,neutral
@user babanmu a da🥺,neutral
@user ana nufin zaiji girman kai yana cewa dole sai da kuri’arsa zaai zabe bayan kuma karyane koda ita ko babu ansan wanda zai ci😂🤣,neutral
@user @user waya taba mana baba falalu 💪🏻💪🏻💪🏻💪🏻,neutral
@user annabi dawud baban annabi suleiman? ?😂😂😂😂,neutral
@user 😂😂😂😂😂😂😂 muje zuwa baba,neutral
@user in karya yakeyi ku aika shaidun cinhamcin gwamnatinsa ga hukumar efcc.😎,neutral
"@user iya duba-duba samodara, iya duba zani na samodara, baba ne ya siya min samodara, ya ce inyi yanga samodara, toh ga yangar na yi samodara. 🤣🤣🤣 https://t.co/jimhpndc7t",neutral
@user indai a najeriya ne ba abinda bazaka gani ba 👀,neutral
@user hakan yayi dai dai amma a cire lockdown ma kwata kwata tunda siyasa ne abun 🙄,neutral
@user misali alakar baba buhari da yan kudu.... sauran bayanin ku cikata da kanku nayi nan🏃,neutral
"@user @user to kuma dan yayi magana biyu minene a wajen dan siyasa,,kawae kuskuren harshe ne aka samu,,ya samu cikin 💯 na alkawarin da ya dauka ya cika ko 30% ma,,haba kun matsa ma baba wlh..",neutral
@user au da shi gogarman ya yarda 😂😂😂 ganduje mai abun mamaki,neutral
"@user @user @user @user @user @user shawara ga gwamnatin nigeria for our future, miye zaihana ayi creating na wani topic for our schools tunda primary school, wanda zai kama nuna darajar rayuwar dan'adam, kodan arage wannan kashe kashen,🗣️🗣️",neutral
@user bbc fa abu naku ai. zabe america. 😡.bakuda damar fadin lbr na cikin gida yanzu ai.....dama america din kuka koma,neutral
@user wallahy kullum sai famar yawo yake banta jin angaiyaci buhari baijeba 😏,neutral
@user wane cigaba kake tunanin zamu samu kafin karshen shekarannan wanda kowanne dan talaka kamar ni zai lasa romon demokradiyya ranka yadade daga alhassan haruna maina jigawa auyo local government 🙏🙏,neutral
@user tana ga gomnati 😎,neutral
@user @user maiyi baya fada saide kagani a aikace. ra’ayi yakan chanzawa akowani lokaci kamar chanzawar yanayi✍🏽✍🏽,neutral
@user najeriya zaku tambaya ba kano kadai ba kano ne kadai najeriya 😪😪,neutral
"@user jan-kunne! jan-kunne!! jan-kunne!!! 😎😎😎 ya kamata tarayyar afrika ta ja kunnen shugaba trump da kada ya kuskura ya kawo yamutsi a siyasar amurka. tunda dai sun ce gyara kayan ka ba ya zama sauke mu raba. ashe dai kunnen-jaki ba ƙashi ba ne, tsoka ce?",neutral
@user ashe maulana ma yana cikin gwamnati😋,neutral
@user yazama dan siyasa kenan 🤔,neutral
@user waye kenan zai kafa? ince ba ganduje ba kam 🤔?,neutral
"@user 👌ina ganin 'ya mace kamar zahra buhari, kuma ' ya ta gaban goshin mb ganawa da ita kan (10k only) yayi matuqar araha.",neutral
@user laaaaaaa🤔 ashe shima ganduje ya zaba😂,neutral
@user yaga mulkin baba buhari 😏,neutral
@user wannan shugaban navy dinnan ai nadauka garzali miko ne yasin😀😁,neutral
@user toh me ya kawo hoton ganduje nan kuma.....🤔🤷‍♂️🤷‍♂️,neutral
@user kiji da naku buharin mana 😂,neutral
@user emana baba abun sai da haka 😄😄😄,neutral
"@user indai abu rabonkane komai stanani sai ka samu. misali,dayike talakawan nigeria nada rabon wahala sai ya kawo musu buhari kowa naji ajikinsa 😂😂😂😂😂😂",neutral
@user aganina hanya dayace 🤔 sai dai shi buharin yabi gida gida yana rabawa mutane dakansa!,neutral
@user nasan buhari sabida auran nan yabar garin nan sabida yana kishi be aure sadiya farouq ba 😂😂,neutral
@user an sa dokar hana fita a bayelsa 👆,neutral
@user @user me baba yayi 🙄,neutral
@user @user bashi da abin da zai fadawa kanawa ina da tabbacin babban dana sanin dan kano shine zabar buhari da yake 😂🤣😅,neutral
"@user ydg daura photo ko rubutu, a internet zai iya shafar rayuwar masu shawar siyasa, she dace ta gane mutum nagari ko lalace ce 😆😀😫😪😝😜",neutral
@user hahahah baba me shinkafa balae ne🤣🤣🤣🤣,neutral
@user @user babu abinda yake damuna da buhari watarana idan natuna yadda za'amasa hisabi akan hakkin al'umma dayake kansa kuma yakasa komai 😭😭😭 sorry buhari,neutral
@user ya rungumi kaddara ya ba buharin amurka dama shima ya dama😅,neutral
@user buhari za ayiwa tunda shine mai nigerian 😷,neutral
@user dama kiran da shugaban saudi 🇸🇦 yy masa kenan?,neutral
"@user aiba'ayi komiba, kamata dan najeriya yayi komi kyauta sbd wasu qasashae komi kyauta sukaeyi.🤭🤭",neutral
@user world wide demokaradiyya tana kasar mu ta gado. najeriya 💪,neutral
@user shure shure bai hana mutuwa..😑 gaskiyane baba #buhari ...,neutral
zuwa ina? 😂😂😂😂😂😆😆😂 “@user: mataimakin shugaban burundi ya arce http://t.co/wzeezzgiqt”,neutral
@user da barcelona su ci wasan yau gwara mulkin buhari ya dawo farko 🌚,neutral
@user bakuga fuskarta kamar na ganduje a uncle enta ne 😂,neutral
@user dama sunan buhari ka rubuta da yafi 😎😎😎,neutral
